N          d          No Go Home Go Home   
100        3          515        511       
100        3          557        555       
100        3          541        536       
100        3          854        538       
100        3          528        525       
100        3          565        563       
100        3          431        430       
100        3          489        487       
100        3          428        423       
100        3          555        550       
100        3          429        425       
100        3          389        383       
100        3          518        516       
100        3          541        536       
100        3          612        606       
100        3          513        509       
100        3          496        495       
100        3          533        529       
100        3          473        468       
100        3          441        439       
100        3          397        397       
100        3          546        545       
100        3          545        543       
100        3          482        480       
100        3          429        421       
100        3          487        487       
100        3          593        589       
100        3          430        427       
100        3          534        531       
100        3          537        537       
100        3          460        456       
100        3          585        580       
100        3          548        545       
100        3          544        540       
100        3          460        456       
100        3          576        591       
100        3          559        568       
100        3          503        501       
100        3          608        606       
100        3          583        579       
100        3          619        618       
100        3          477        472       
100        3          455        451       
100        3          518        514       
100        3          488        487       
100        3          421        420       
100        3          483        472       
100        3          540        525       
100        3          565        559       
100        3          589        585       
100        3          413        410       
100        3          473        470       
100        3          451        445       
100        3          493        490       
100        3          427        422       
100        3          451        450       
100        3          435        430       
100        3          490        488       
100        3          510        507       
100        3          624        618       
100        3          555        553       
100        3          563        560       
100        3          516        515       
100        3          538        533       
100        3          595        588       
100        3          422        416       
100        3          562        561       
100        3          465        460       
100        3          521        517       
100        3          478        477       
100        3          662        660       
100        3          513        508       
100        3          434        433       
100        3          379        378       
100        3          383        376       
100        3          440        432       
100        3          500        498       
100        3          496        493       
100        3          493        486       
100        3          464        459       
100        3          506        501       
100        3          610        607       
100        3          603        600       
100        3          475        464       
100        3          460        457       
100        3          406        403       
100        3          488        485       
100        3          504        501       
100        3          536        535       
100        3          606        556       
100        3          388        384       
100        3          520        519       
100        3          522        520       
100        3          428        424       
100        3          491        490       
100        3          486        482       
100        3          575        573       
100        3          547        545       
100        3          490        489       
100        3          509        505       
100        5          586        725       
100        5          695        669       
100        5          727        736       
100        5          572        555       
100        5          510        550       
100        5          600        596       
100        5          612        595       
100        5          537        527       
100        5          581        540       
100        5          535        522       
100        5          543        526       
100        5          528        511       
100        5          602        589       
100        5          624        595       
100        5          692        681       
100        5          646        636       
100        5          673        666       
100        5          615        609       
100        5          640        684       
100        5          620        652       
100        5          645        634       
100        5          496        488       
100        5          641        624       
100        5          481        467       
100        5          663        655       
100        5          546        534       
100        5          624        609       
100        5          539        485       
100        5          705        629       
100        5          618        595       
100        5          747        733       
100        5          621        606       
100        5          543        601       
100        5          660        662       
100        5          499        488       
100        5          559        550       
100        5          492        480       
100        5          632        628       
100        5          689        715       
100        5          720        712       
100        5          618        631       
100        5          583        575       
100        5          630        704       
100        5          623        617       
100        5          584        563       
100        5          534        537       
100        5          537        498       
100        5          535        530       
100        5          688        678       
