N          d          numCycles  lookedAt   ratio      traversed  ratio     
100        3          7          907        2.267500   294        0.735000  
100        3          7          998        2.495000   322        0.805000  
100        3          7          1042       2.605000   346        0.865000  
100        3          8          1090       2.725000   362        0.905000  
100        3          9          1064       2.660000   352        0.880000  
100        3          6          1434       3.585000   440        1.100000  
100        3          5          1299       3.247500   392        0.980000  
100        3          8          1063       2.657500   358        0.895000  
100        3          6          1150       2.875000   364        0.910000  
100        3          7          1026       2.565000   338        0.845000  
100        3          5          1091       2.727500   362        0.905000  
100        3          14         1106       2.765000   384        0.960000  
100        3          8          1242       3.105000   418        1.045000  
100        3          8          1025       2.562500   342        0.855000  
100        3          8          1093       2.732500   370        0.925000  
100        3          7          1109       2.772500   374        0.935000  
100        3          5          1010       2.525000   332        0.830000  
100        3          8          1256       3.140000   428        1.070000  
100        3          8          1163       2.907500   398        0.995000  
100        3          8          987        2.467500   324        0.810000  
100        3          6          930        2.325000   296        0.740000  
100        3          5          1067       2.667500   354        0.885000  
100        3          7          1134       2.835000   384        0.960000  
100        3          5          1244       3.110000   410        1.025000  
100        3          9          1112       2.780000   378        0.945000  
100        3          6          1245       3.112500   402        1.005000  
100        3          6          946        2.365000   308        0.770000  
100        3          6          1181       2.952500   390        0.975000  
100        3          8          1223       3.057500   354        0.885000  
100        3          4          1054       2.635000   336        0.840000  
100        3          11         1282       3.205000   438        1.095000  
100        3          6          1033       2.582500   342        0.855000  
100        3          5          994        2.485000   322        0.805000  
100        3          5          991        2.477500   318        0.795000  
100        3          8          1145       2.862500   366        0.915000  
100        3          7          974        2.435000   318        0.795000  
100        3          11         966        2.415000   324        0.810000  
100        3          11         916        2.290000   304        0.760000  
100        3          11         1386       3.465000   484        1.210000  
100        3          6          1171       2.927500   362        0.905000  
100        3          10         962        2.405000   320        0.800000  
100        3          5          933        2.332500   292        0.730000  
100        3          12         1359       3.397500   472        1.180000  
100        3          5          1214       3.035000   384        0.960000  
100        3          9          1173       2.932500   402        1.005000  
100        3          5          1055       2.637500   326        0.815000  
100        3          11         1105       2.762500   374        0.935000  
100        3          7          911        2.277500   294        0.735000  
100        3          4          1060       2.650000   344        0.860000  
100        3          8          1181       2.952500   388        0.970000  
100        3          7          1057       2.642500   354        0.885000  
100        3          6          1025       2.562500   338        0.845000  
100        3          10         1136       2.840000   376        0.940000  
100        3          8          983        2.457500   320        0.800000  
100        3          8          1089       2.722500   362        0.905000  
100        3          6          846        2.115000   266        0.665000  
100        3          8          1163       2.907500   398        0.995000  
100        3          6          1343       3.357500   388        0.970000  
100        3          6          1109       2.772500   354        0.885000  
100        3          7          1266       3.165000   412        1.030000  
100        3          9          1272       3.180000   434        1.085000  
100        3          8          999        2.497500   330        0.825000  
100        3          9          959        2.397500   316        0.790000  
100        3          7          1139       2.847500   370        0.925000  
100        3          6          922        2.305000   288        0.720000  
100        3          10         1283       3.207500   448        1.120000  
100        3          7          963        2.407500   316        0.790000  
100        3          8          1170       2.925000   398        0.995000  
100        3          8          1214       3.035000   410        1.025000  
100        3          7          1157       2.892500   388        0.970000  
100        3          10         1090       2.725000   372        0.930000  
100        3          6          1021       2.552500   338        0.845000  
100        3          14         1091       2.727500   378        0.945000  
100        3          9          951        2.377500   312        0.780000  
100        3          9          1010       2.525000   338        0.845000  
100        3          7          1060       2.650000   348        0.870000  
100        3          10         1039       2.597500   350        0.875000  
100        3          8          1246       3.115000   420        1.050000  
100        3          12         992        2.480000   336        0.840000  
100        3          9          1065       2.662500   356        0.890000  
