N          d          No Go Home Go Home   
100        3          544        655       
100        3          627        504       
100        3          592        615       
100        3          787        538       
100        3          653        598       
100        3          653        588       
100        3          654        730       
100        3          516        490       
100        3          786        670       
100        3          674        644       
100        3          539        636       
100        3          817        631       
100        3          590        511       
100        3          596        620       
100        3          1212       744       
100        3          683        688       
100        3          910        677       
100        3          618        543       
100        3          754        601       
100        3          777        549       
100        3          682        558       
100        3          725        641       
100        3          790        607       
100        3          1422       544       
100        3          524        541       
100        3          720        663       
100        3          736        572       
100        3          722        585       
100        3          752        599       
100        3          792        552       
100        3          704        600       
100        3          765        513       
100        3          574        670       
100        3          778        450       
100        3          908        650       
100        3          710        523       
100        3          869        533       
100        3          602        560       
100        3          536        614       
100        3          1104       645       
100        3          712        601       
100        3          515        706       
100        3          734        649       
100        3          645        557       
100        3          568        511       
100        3          1453       601       
100        3          810        615       
100        3          580        655       
100        3          586        551       
100        3          618        609       
100        3          747        795       
100        3          918        560       
100        3          766        577       
100        3          760        544       
100        3          661        541       
100        3          656        554       
100        3          604        586       
100        3          636        677       
100        3          724        696       
100        3          720        643       
100        3          516        489       
100        3          579        547       
100        3          727        610       
100        3          585        595       
100        3          760        548       
100        3          838        519       
100        3          698        468       
100        3          741        748       
100        3          964        674       
100        3          515        515       
100        3          566        665       
100        3          954        703       
100        3          673        681       
100        3          924        607       
100        3          615        622       
100        3          591        474       
100        3          585        567       
100        3          618        560       
100        3          521        605       
100        3          549        634       
100        3          802        633       
100        3          1077       640       
100        3          749        543       
100        3          890        656       
100        3          706        535       
100        3          698        586       
100        3          615        600       
100        3          876        921       
100        3          561        657       
100        3          722        458       
100        3          856        697       
100        3          552        593       
100        3          796        638       
100        3          769        469       
100        3          543        750       
100        3          575        607       
100        3          1107       556       
100        3          693        673       
100        3          785        623       
100        3          617        570       
100        5          839        713       
100        5          730        686       
100        5          1301       726       
100        5          857        780       
100        5          1217       781       
100        5          1137       715       
100        5          1468       700       
100        5          811        679       
100        5          1396       773       
100        5          912        759       
100        5          834        750       
100        5          770        756       
100        5          776        691       
100        5          1117       769       
100        5          872        668       
100        5          844        673       
100        5          794        765       
100        5          1017       671       
100        5          779        757       
100        5          921        798       
100        5          918        747       
100        5          790        712       
100        5          878        815       
100        5          884        698       
100        5          1085       713       
100        5          1055       742       
100        5          1458       770       
100        5          1051       688       
100        5          866        689       
100        5          1032       667       
100        5          871        914       
100        5          1133       662       
100        5          943        637       
100        5          1260       760       
100        5          877        735       
100        5          862        697       
100        5          804        675       
100        5          1154       667       
100        5          827        753       
100        5          779        761       
100        5          1290       723       
100        5          758        690       
100        5          930        714       
100        5          996        796       
100        5          855        706       
100        5          950        700       
100        5          1320       769       
100        5          1110       612       
100        5          1155       820       
100        5          945        776       
100        5          879        650       
100        5          890        716       
100        5          818        700       
100        5          891        743       
100        5          1456       717       
100        5          1039       666       
100        5          974        627       
100        5          1208       731       
100        5          755        740       
100        5          857        655       
100        5          1106       702       
100        5          842        676       
100        5          782        761       
100        5          892        738       
100        5          997        645       
100        5          742        757       
100        5          960        792       
100        5          1062       675       
100        5          996        697       
100        5          848        706       
100        5          1409       746       
100        5          1313       776       
100        5          1503       693       
100        5          918        705       
100        5          871        719       
100        5          1141       747       
100        5          816        696       
100        5          846        732       
100        5          802        707       
100        5          931        648       
100        5          1006       678       
100        5          1006       835       
100        5          1101       767       
100        5          1157       679       
100        5          973        746       
100        5          1050       793       
100        5          887        733       
100        5          940        897       
100        5          984        699       
100        5          942        794       
100        5          1005       581       
100        5          1739       657       
100        5          1625       686       
100        5          961        786       
100        5          781        719       
100        5          1004       756       
100        5          938        707       
100        5          807        752       
100        5          977        709       
100        5          860        686       
100        7          1235       953       
100        7          1194       838       
100        7          1210       783       
100        7          1112       942       
100        7          1303       848       
100        7          1303       906       
100        7          1428       818       
100        7          1145       771       
100        7          1109       885       
100        7          1311       798       
100        7          1160       809       
100        7          1763       896       
100        7          1325       881       
100        7          1037       889       
100        7          1191       841       
100        7          1303       827       
100        7          1235       783       
100        7          1187       762       
100        7          1052       978       
100        7          1387       796       
100        7          972        725       
100        7          1289       840       
100        7          1242       782       
100        7          1103       870       
100        7          1536       824       
100        7          1270       815       
100        7          1133       896       
100        7          1402       1006      
100        7          1122       906       
100        7          1366       919       
100        7          1226       913       
100        7          1203       753       
100        7          2166       846       
100        7          1269       892       
100        7          1198       816       
100        7          1621       793       
100        7          1384       962       
100        7          1451       820       
100        7          1282       838       
100        7          1385       848       
100        7          1190       866       
100        7          1268       859       
100        7          1260       952       
100        7          1379       839       
100        7          1189       811       
100        7          1135       838       
100        7          1346       961       
100        7          1100       878       
100        7          1209       901       
100        7          1389       843       
100        7          1090       850       
100        7          1280       991       
100        7          1194       856       
100        7          1437       792       
100        7          1140       825       
100        7          1195       851       
100        7          1258       859       
100        7          1107       920       
100        7          1503       917       
100        7          1359       874       
100        7          1488       786       
100        7          1198       861       
100        7          1220       880       
100        7          1035       784       
100        7          1156       873       
100        7          1125       1051      
100        7          1248       959       
100        7          1093       829       
100        7          1086       872       
100        7          1335       883       
100        7          1275       797       
100        7          1313       894       
100        7          1455       811       
100        7          1478       964       
100        7          1162       899       
100        7          1136       887       
100        7          1027       806       
100        7          1305       839       
100        7          1094       864       
100        7          1222       834       
100        7          1257       924       
100        7          1038       943       
100        7          1082       879       
100        7          1283       774       
100        7          1445       822       
100        7          1216       895       
100        7          1119       840       
100        7          1217       821       
100        7          1339       820       
100        7          1071       862       
100        7          1707       832       
100        7          1196       863       
100        7          1005       905       
100        7          1404       925       
100        7          976        904       
100        7          1416       866       
100        7          1338       878       
100        7          1330       863       
100        7          1094       795       
100        7          1726       881       
100        9          1316       908       
100        9          1782       993       
100        9          1914       1038      
100        9          1495       901       
100        9          1742       921       
100        9          1489       958       
100        9          1797       961       
100        9          1993       959       
100        9          1339       931       
100        9          1653       1142      
100        9          1574       981       
100        9          1723       958       
100        9          1712       1051      
100        9          1278       1008      
100        9          1477       901       
100        9          1269       923       
100        9          1535       1003      
100        9          1312       922       
100        9          1595       935       
100        9          2289       1047      
100        9          1401       998       
100        9          2025       1017      
100        9          1805       989       
100        9          1485       964       
100        9          1459       1005      
100        9          1407       842       
100        9          1321       1036      
100        9          1592       984       
100        9          1365       870       
100        9          1512       1052      
100        9          1436       982       
100        9          1671       1000      
100        9          1460       944       
100        9          1985       1113      
100        9          1564       945       
100        9          1406       982       
100        9          1329       906       
100        9          1463       942       
100        9          1612       959       
100        9          1465       989       
100        9          1774       980       
100        9          1425       970       
100        9          1290       888       
100        9          1433       984       
100        9          1381       877       
100        9          2079       1093      
100        9          1272       928       
100        9          1749       864       
100        9          1483       892       
100        9          1633       992       
100        9          2038       853       
100        9          1381       1164      
100        9          2129       922       
100        9          1437       1084      
100        9          1457       945       
100        9          1593       993       
100        9          1419       951       
100        9          1363       879       
100        9          1423       954       
100        9          1648       991       
100        9          1195       961       
100        9          1278       998       
100        9          1553       894       
100        9          1337       925       
100        9          1930       1006      
100        9          1257       941       
100        9          1728       951       
100        9          1510       990       
100        9          1516       976       
100        9          1518       1125      
100        9          1291       946       
100        9          1729       899       
100        9          2048       1103      
100        9          1527       954       
100        9          2187       1017      
100        9          1455       936       
100        9          1342       988       
100        9          1465       1056      
100        9          1442       959       
100        9          1307       981       
100        9          1741       1007      
100        9          1957       927       
100        9          1569       919       
100        9          1462       937       
100        9          1256       924       
100        9          1415       1009      
100        9          1461       933       
100        9          1739       1000      
100        9          1744       974       
100        9          1441       971       
100        9          1341       1027      
100        9          1667       1066      
100        9          1772       1062      
100        9          1530       856       
100        9          1401       1089      
100        9          1465       938       
100        9          1618       968       
100        9          1217       972       
100        9          1492       893       
100        9          1420       869       
100        11         2091       1048      
100        11         1540       985       
100        11         2684       1047      
100        11         1810       1177      
100        11         2238       860       
100        11         2206       1102      
100        11         1794       1035      
100        11         2052       1036      
100        11         1756       983       
100        11         2102       1189      
100        11         1702       1039      
100        11         1920       908       
100        11         1917       995       
100        11         1983       1014      
100        11         2180       873       
100        11         2312       1198      
100        11         2061       1073      
100        11         1729       1025      
100        11         1690       904       
100        11         1740       970       
100        11         1984       1058      
100        11         1815       920       
100        11         2004       1079      
100        11         1575       837       
100        11         1704       1072      
100        11         1833       1001      
100        11         1794       939       
100        11         1964       992       
100        11         2015       960       
100        11         1623       956       
100        11         1806       1091      
100        11         1610       1008      
100        11         2060       1044      
100        11         2150       1103      
100        11         1578       1055      
100        11         1545       1130      
100        11         2037       1135      
100        11         1703       1020      
100        11         1699       1045      
100        11         1975       1046      
100        11         2025       983       
100        11         1759       1003      
100        11         2299       1075      
100        11         1804       1067      
100        11         1645       881       
100        11         1973       1123      
100        11         2389       1200      
100        11         2049       938       
100        11         1849       960       
