N          d          Count     
10         3          11.550000 
10         5          11.900000 
10         7          14.980000 
10         9          16.470000 
10         11         15.950000 
10         13         18.720000 
10         15         19.350000 
20         3          25.040816 
20         5          23.900000 
20         7          26.880000 
20         9          31.860000 
20         11         36.630000 
20         13         41.860000 
20         15         45.300000 
40         3          53.580000 
40         5          47.350000 
40         7          47.320000 
40         9          55.260000 
40         11         63.800000 
40         13         76.440000 
40         15         85.650000 
80         3          98.370000 
80         5          88.700000 
80         7          107.030000
80         9          100.080000
80         11         106.040000
80         13         118.820000
80         15         135.150000
160        3          204.270000
160        5          164.900000
160        7          181.930000
160        9          201.150000
160        11         215.930000
160        13         219.570000
160        15         223.200000
320        3          380.580000
320        5          330.350000
320        7          344.820000
320        9          363.420000
320        11         468.270000
320        13         465.010000
320        15         479.550000
640        3          755.700000
640        5          606.400000
640        7          655.410000
640        9          745.200000
640        11         754.270000
640        13         938.340000
640        15         1058.550000
1280       3          1615.950000
1280       5          1272.550000
1280       7          1256.920000
1280       9          1532.430000
1280       11         1614.910000
1280       13         1534.130000
1280       15         1738.950000
2560       3          3165.480000
2560       5          2484.550000
2560       7          2781.100000
2560       9          2702.250000
2560       11         3612.510000
2560       13         3319.810000
2560       15         3561.150000
5120       3          5930.430000
5120       5          4837.000000
5120       7          4994.850000
5120       9          5845.770000
5120       11         6185.740000
5120       13         7103.590000
5120       15         7862.700000
10240      3          10856.520000
10240      5          9455.250000
