Count      N          d          Go Home   
9     10         3          26        
12     10         3          25        
9     10         3          37        
6     10         3          39        
12     10         3          37        
12     10         3          28        
12     10         3          18        
9     10         3          22        
15     10         3          35        
9     10         3          26        
6     10         3          32        
12     10         3          33        
15     10         3          27        
3     10         3          21        
9     10         3          38        
15     10         3          21        
6     10         3          18        
9     10         3          22        
12     10         3          38        
9     10         3          36        
6     10         3          17        
12     10         3          31        
6     10         3          25        
12     10         3          20        
15     10         3          25        
18     10         3          22        
18     10         3          37        
6     10         3          24        
12     10         3          20        
18     10         3          24        
15     10         3          30        
15     10         3          32        
24     10         3          21        
6     10         3          27        
6     10         3          27        
12     10         3          26        
9     10         3          43        
21     10         3          35        
15     10         3          24        
6     10         3          28        
24     10         3          30        
18     10         3          22        
9     10         3          27        
9     10         3          24        
3     10         3          37        
12     10         3          32        
12     10         3          20        
6     10         3          28        
9     10         3          17        
12     10         3          18        
12     10         3          30        
15     10         3          29        
15     10         3          22        
9     10         3          19        
18     10         3          31        
12     10         3          31        
12     10         3          30        
6     10         3          31        
18     10         3          15        
6     10         3          53        
33     10         3          31        
3     10         3          32        
12     10         3          25        
12     10         3          29        
9     10         3          26        
12     10         3          28        
18     10         3          31        
15     10         3          26        
9     10         3          20        
12     10         3          24        
12     10         3          19        
24     10         3          34        
9     10         3          28        
15     10         3          18        
9     10         3          24        
12     10         3          30        
18     10         3          34        
3     10         3          27        
3     10         3          31        
9     10         3          29        
6     10         3          43        
0     10         3          36        
9     10         3          33        
15     10         3          14        
15     10         3          29        
6     10         3          26        
6     10         3          28        
15     10         3          27        
6     10         3          12        
6     10         3          33        
12     10         3          32        
6     10         3          35        
12     10         3          29        
18     10         3          24        
15     10         3          30        
15     10         3          22        
12     10         3          28        
18     10         3          41        
9     10         3          31        
15     10         3          16        
10     10         5          29        
10     10         5          10        
15     10         5          56        
10     10         5          44        
15     10         5          17        
5     10         5          34        
5     10         5          44        
5     10         5          27        
10     10         5          29        
25     10         5          28        
15     10         5          25        
10     10         5          31        
15     10         5          20        
20     10         5          17        
5     10         5          30        
10     10         5          32        
10     10         5          31        
15     10         5          41        
20     10         5          42        
10     10         5          34        
15     10         5          32        
10     10         5          44        
10     10         5          30        
10     10         5          24        
10     10         5          25        
10     10         5          31        
20     10         5          36        
10     10         5          18        
15     10         5          33        
10     10         5          36        
10     10         5          28        
5     10         5          29        
5     10         5          31        
5     10         5          21        
10     10         5          35        
25     10         5          31        
15     10         5          22        
10     10         5          24        
5     10         5          32        
15     10         5          31        
10     10         5          26        
15     10         5          34        
15     10         5          24        
15     10         5          17        
10     10         5          25        
5     10         5          43        
10     10         5          32        
15     10         5          28        
15     10         5          36        
10     10         5          20        
