Count      N          d          Go Home   
21     10         3          27        
6     10         3          26        
18     10         3          33        
3     10         3          23        
9     10         3          26        
12     10         3          36        
21     10         3          19        
12     10         3          23        
9     10         3          27        
9     10         3          27        
9     10         3          41        
15     10         3          25        
12     10         3          26        
12     10         3          22        
12     10         3          27        
6     10         3          24        
9     10         3          28        
9     10         3          45        
6     10         3          21        
15     10         3          21        
3     10         3          25        
9     10         3          28        
30     10         3          24        
15     10         3          35        
6     10         3          39        
6     10         3          28        
15     10         3          31        
3     10         3          29        
18     10         3          26        
6     10         3          29        
30     10         3          33        
30     10         3          25        
3     10         3          29        
9     10         3          29        
18     10         3          27        
9     10         3          23        
6     10         3          24        
9     10         3          20        
9     10         3          30        
24     10         3          28        
21     10         3          36        
24     10         3          41        
12     10         3          25        
12     10         3          13        
6     10         3          25        
3     10         3          23        
15     10         3          28        
6     10         3          20        
12     10         3          26        
12     10         3          26        
6     10         3          21        
15     10         3          36        
6     10         3          25        
9     10         3          22        
6     10         3          26        
6     10         3          33        
12     10         3          25        
15     10         3          19        
9     10         3          35        
12     10         3          19        
15     10         3          23        
12     10         3          36        
12     10         3          28        
9     10         3          22        
15     10         3          34        
15     10         3          21        
33     10         3          32        
24     10         3          17        
9     10         3          25        
24     10         3          49        
9     10         3          27        
12     10         3          27        
12     10         3          18        
3     10         3          31        
12     10         3          24        
12     10         3          27        
6     10         3          29        
21     10         3          30        
6     10         3          26        
12     10         3          21        
3     10         3          23        
18     10         3          24        
18     10         3          33        
9     10         3          36        
6     10         3          28        
15     10         3          44        
12     10         3          28        
12     10         3          20        
9     10         3          30        
6     10         3          27        
3     10         3          20        
6     10         3          34        
9     10         3          25        
15     10         3          35        
9     10         3          33        
9     10         3          31        
6     10         3          22        
6     10         3          28        
12     10         3          28        
9     10         3          31        
5     10         5          33        
10     10         5          38        
15     10         5          31        
15     10         5          27        
15     10         5          27        
10     10         5          23        
5     10         5          25        
15     10         5          22        
10     10         5          30        
15     10         5          30        
10     10         5          33        
10     10         5          32        
5     10         5          33        
5     10         5          30        
10     10         5          35        
15     10         5          16        
10     10         5          26        
5     10         5          24        
10     10         5          32        
5     10         5          40        
15     10         5          25        
10     10         5          32        
20     10         5          32        
10     10         5          34        
5     10         5          23        
15     10         5          17        
10     10         5          25        
5     10         5          27        
10     10         5          27        
15     10         5          18        
5     10         5          26        
5     10         5          28        
10     10         5          33        
10     10         5          20        
5     10         5          29        
10     10         5          32        
10     10         5          18        
15     10         5          31        
15     10         5          17        
15     10         5          52        
5     10         5          24        
10     10         5          32        
20     10         5          32        
10     10         5          32        
25     10         5          19        
15     10         5          31        
10     10         5          36        
25     10         5          41        
10     10         5          33        
10     10         5          23        
15     10         5          44        
15     10         5          21        
15     10         5          45        
15     10         5          27        
10     10         5          31        
10     10         5          22        
5     10         5          48        
15     10         5          32        
15     10         5          31        
10     10         5          24        
15     10         5          26        
10     10         5          24        
5     10         5          32        
15     10         5          31        
15     10         5          42        
15     10         5          39        
10     10         5          23        
10     10         5          18        
10     10         5          31        
10     10         5          22        
15     10         5          47        
10     10         5          27        
20     10         5          25        
20     10         5          24        
10     10         5          27        
10     10         5          25        
10     10         5          22        
20     10         5          18        
25     10         5          38        
5     10         5          36        
15     10         5          26        
10     10         5          20        
10     10         5          27        
10     10         5          37        
15     10         5          25        
10     10         5          38        
15     10         5          33        
20     10         5          20        
15     10         5          26        
10     10         5          37        
10     10         5          29        
5     10         5          41        
15     10         5          29        
20     10         5          36        
15     10         5          20        
20     10         5          25        
15     10         5          27        
10     10         5          35        
10     10         5          39        
15     10         5          16        
14     10         7          22        
7     10         7          28        
21     10         7          21        
14     10         7          20        
7     10         7          26        
14     10         7          26        
21     10         7          29        
14     10         7          51        
21     10         7          44        
14     10         7          40        
21     10         7          48        
14     10         7          21        
14     10         7          53        
21     10         7          37        
21     10         7          34        
14     10         7          30        
7     10         7          39        
14     10         7          28        
14     10         7          31        
28     10         7          35        
21     10         7          19        
28     10         7          34        
7     10         7          32        
14     10         7          20        
7     10         7          43        
7     10         7          26        
14     10         7          18        
7     10         7          31        
14     10         7          30        
21     10         7          30        
14     10         7          61        
14     10         7          25        
21     10         7          43        
14     10         7          28        
14     10         7          26        
21     10         7          13        
14     10         7          44        
21     10         7          32        
14     10         7          29        
21     10         7          37        
21     10         7          33        
14     10         7          52        
7     10         7          25        
7     10         7          26        
21     10         7          38        
14     10         7          24        
21     10         7          34        
21     10         7          34        
21     10         7          34        
14     10         7          29        
28     10         7          29        
21     10         7          50        
21     10         7          25        
14     10         7          27        
21     10         7          24        
7     10         7          25        
14     10         7          31        
14     10         7          24        
21     10         7          29        
21     10         7          41        
7     10         7          55        
14     10         7          45        
14     10         7          30        
7     10         7          40        
7     10         7          27        
14     10         7          26        
21     10         7          32        
21     10         7          25        
14     10         7          41        
14     10         7          18        
14     10         7          23        
7     10         7          22        
7     10         7          38        
21     10         7          22        
7     10         7          43        
7     10         7          41        
21     10         7          34        
14     10         7          32        
14     10         7          24        
7     10         7          26        
14     10         7          38        
14     10         7          24        
14     10         7          32        
14     10         7          16        
7     10         7          53        
14     10         7          42        
7     10         7          35        
21     10         7          13        
14     10         7          49        
14     10         7          28        
21     10         7          19        
21     10         7          20        
14     10         7          28        
21     10         7          36        
7     10         7          19        
14     10         7          41        
21     10         7          37        
14     10         7          19        
7     10         7          33        
14     10         7          31        
18     10         9          21        
9     10         9          35        
9     10         9          37        
18     10         9          39        
18     10         9          30        
9     10         9          45        
18     10         9          43        
18     10         9          25        
27     10         9          35        
9     10         9          26        
18     10         9          33        
18     10         9          46        
18     10         9          37        
18     10         9          18        
9     10         9          23        
9     10         9          31        
9     10         9          22        
